,id,title,type,description,release_year,age_certification,age_certification.1,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,documentation,drama,comedy,thriller,crime,romance,action,GenreCt,OtherGenr,US,IN,GB,JP,KR,FR,ES,CA,MX,OtherCountry,SciFi War,Stand-up Comedy,Family Drama,Murder Mystery,Holidays,Top Secret,War Documentary,College Life,Father & Son Drama,Adventure,Love Story,Gangster
2285,tm317491,Spyder,MOVIE,A surveillance expert who wants to help people comes across a foe who is the very definition of evil. Can he stop the man before he destroys everything?,2017,,OTHERS,145,"['thriller', 'action', 'crime']",['IN'],,tt6522546,6.3,10339.0,3.35,5.4,0,0,0,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0.9260032226416572,0.9259338283253588,25.758441787425284,0.925941594524164,0.9259288293360493,42.82258695219993,0.9259269466058582,0.9259313489291007,0.9259829513312134,0.9259464400063293,23.085442261690186,0.9259338369848791
2286,ts56933,The New Legends of Monkey,SHOW,Follow a teenage girl and a trio of fallen gods on a perilous journey as they attempt to bring an end to a demonic reign of chaos and restore balance to their world. Inspired by the 16th Century Chinese fable “Journey to the West.”,2018,TV-PG,PG,26,"['scifi', 'action', 'comedy', 'fantasy']",['NZ'],2.0,tt6807662,6.4,4398.0,25.804,7.2,0,0,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,23.432148613030414,0.520846554461374,0.5208551516870243,0.5208659284492749,0.5208336850984003,0.5208598773355285,16.761765296309942,0.5208868126507534,18.769500085622088,13.076729318393493,0.5208795906783853,24.313829086283327
2287,tm327053,The Killer,MOVIE,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself.",2017,,OTHERS,99,"['western', 'horror', 'action']",['BR'],,tt5379294,6.0,2664.0,17.109,6.2,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,1.6666850691560735,1.6666666720862415,43.284008952250254,1.6666930417327412,1.6666666667164713,1.6667332384156817,1.666666666707407,1.6666666667148455,40.04914072937284,1.6667007443428348,1.666699230122249,1.6666723223823745
2288,tm419496,Lust Stories,MOVIE,An anthology of four stories that sheds light on modern relationships from the viewpoint of the Indian woman.,2018,R,R,120,"['drama', 'romance']",['IN'],,tt8439854,6.4,10830.0,6.98,6.2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1.1905053417420093,1.1905933708852872,1.1906139952580437,1.1904907701904224,1.1904761905611112,38.35811063738896,1.190476190664888,1.190476212811581,1.1904969658175486,1.1904802050418095,18.689347386477102,32.23793273316124
2289,ts118696,Robot Trains,SHOW,"Set in the ""Train World"" where all citizens are trains. However, among the residents there are special trains that can transform into robots, the Robot Trains. Featuring our 5 train heroes, with special powers: Kay, Alf, Duck, Selly and Victor - and their exciting adventures. Can the Robot Trains save the village from the evil dark forces that be?",2017,TV-Y7,PG,13,"['animation', 'action', 'comedy', 'fantasy', 'scifi']",['KR'],3.0,tt7216288,6.2,89.0,1.4,,0,0,1,0,0,0,1,5,3,0,0,0,0,1,0,0,0,0,0,62.10160254853142,27.929569404097432,0.490199643419253,0.49021021655040153,0.4901976475523493,0.49021602719854984,0.4902024019055309,0.49020662216758915,0.4901994564928163,0.4902011175281969,5.5569598577158,0.4902350568406564
2290,tm410748,The Most Unknown,MOVIE,"An epic documentary film that sends nine scientists to extraordinary parts of the world to uncover unexpected answers to some of humanity’s biggest questions. How did life begin? What is time? What is consciousness? How much do we really know?  By introducing researchers from diverse backgrounds for the first time, then dropping them into new, immersive field work they previously hadn’t tackled, the film pushes the boundaries of how science storytelling is approached. What emerges is a deeply human trip to the foundations of discovery and a powerful reminder that the unanswered questions are the most crucial ones to pose.  Directed by Emmy-nominated and Peabody Award-winning filmmaker Ian Cheney and advised by world-renowned filmmaker Werner Herzog, The Most Unknown is an ambitious look at a side of science never before shown on screen.",2018,,OTHERS,92,['documentation'],['US'],,tt8126390,6.5,2129.0,3.535,6.5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.21930181041115043,0.21930325585407295,0.2193031924970943,0.21931590063707218,0.21930403417118396,18.86486790118031,13.573385088680931,0.21930140245168192,23.4812467999322,6.133859954894992,0.2193026036919024,36.4115080555974
2291,ts79219,Flint Town,SHOW,"Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",2018,TV-MA,NC-17,42,"['documentation', 'crime', 'action']",['US'],1.0,tt8004578,7.8,3713.0,2.166,7.5,1,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1.6667252452277348,1.6666852067335713,22.289043553366376,21.57584434778751,1.6666666675189457,21.757432286272195,1.6666666669537256,1.666666666798569,1.6666709522529382,1.6666666736088658,1.6667103888755852,21.04422134460398
2292,tm299764,The Motive,MOVIE,"Álvaro, a man obsessed with the idea of writing what he brands as “high literature,” manipulates the lives and feelings of the people around him to write about the consequences caused by his devious acts.",2017,,OTHERS,104,"['drama', 'thriller', 'comedy', 'crime', 'european']","['ES', 'MX']",,tt5451244,6.5,5713.0,6.409,6.2,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0.9259731715145556,0.9259260828494172,0.9259942484831709,0.9259259259926154,0.9259716493238297,0.9259359659021539,0.9259324645262148,12.037044360961113,40.20589010323731,0.9259288060529401,39.423543176160905,0.9259340449957626
2293,tm408941,Mercury 13,MOVIE,"After rigorous testing in 1961, a small group of skilled female pilots are asked to step aside when only men are selected for spaceflight.",2018,NC-17,NC-17,79,['documentation'],['IE'],,tt8139850,6.9,1180.0,4.266,6.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.3888979792763139,1.3888912308594432,1.3889252309417706,21.220482700902068,1.388888889002585,64.89023952570759,1.3888973894474694,1.3889233050583454,1.388987524100275,1.388891017968309,1.3890656268336214,1.3889095799022193
2294,ts85183,Vai Anitta,SHOW,Go behind the scenes with Brazilian superstar Anitta as the singer reveals how she's consolidating her international career.,2018,TV-MA,NC-17,30,"['documentation', 'reality']",['BR'],2.0,tt8961530,5.5,455.0,1.994,6.8,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1.3889035256288298,1.388934768242461,38.1329507266614,1.3888888889540605,1.3888888889723034,1.3888920347358336,47.97793602788897,1.3889038157798934,1.388910636258151,1.388888908385928,1.3889593276855765,1.3889424508065935
2295,tm444469,Eerie,MOVIE,"The unexpected and gruesome death of a student threatens the existence of an old Catholic school for girls. Pat Consolacion, the school guidance counselor, involves herself with the students in the hopes of helping them cope, and at the same time uncover the mysteries of the student’s death. Most students suspect of the strict and borderline abusive Mother Alice, who also threatened Pat’s tenure in the school because of her continuous meddling with the case. But Pat’s unusual talents lead her to knowing Eri, a former student who's been watching the whole school for years. Piece by piece, Pat uncovers the secret of the school and the monster that it nurtured for the past century.",2018,,OTHERS,101,"['horror', 'crime', 'thriller', 'drama']","['PH', 'SG']",,tt8723216,4.6,2324.0,6.895,5.4,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0.25252785769838226,0.2525256693086357,0.2525361434859185,14.669450562015108,0.2525254450787749,0.2525380656393023,0.25253266329204976,33.247457658747734,45.806820278540236,0.2525265432976342,4.256029953828591,0.25252915906761997
2296,ts84135,The Inmate,SHOW,"A former U.S. Marine, Lázaro Mendoza, enters a maximum security prison in Mexico (La Rotunda), under a false identity and accused of an alleged triple murder. Now as Dante Pardo, his mission is to infiltrate a dangerous band of inmates and guards that operate inside and outside of prison who are the prime suspects of the kidnapping of the teenage daughter of U.S. Judge, John Morris. Inside La Rotunda, Lázaro has to find out who carried out the kidnapping and the whereabouts of the girl.",2018,TV-MA,NC-17,45,"['drama', 'crime', 'thriller']",['MX'],1.0,tt8452308,6.9,2714.0,25.554,7.0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0.3968355645515591,17.898609102628928,0.3968420749791264,13.138438574258496,0.3968335456464925,27.78514402562488,0.3968468964369445,0.39684991197325525,0.39683720122509036,24.229356020598935,0.3968382413501226,14.170568840726162
2297,ts86067,Death by Magic,SHOW,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.",2018,TV-14,PG,35,['reality'],['US'],1.0,tt8887956,6.0,641.0,3.231,6.9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,51.31960056073588,2.0833333356926027,2.0834836183500305,2.0833333333568405,2.083379062648292,2.083361211400176,2.0833333333586634,2.0833333333554265,2.0833461930156107,2.0833333335332465,27.846823292365404,2.0833393921878365
2298,ts76245,The Day I Met El Chapo: The Kate del Castillo Story,SHOW,"Mexican superstar actress Kate del Castillo reveals the untold story of her encounter with El Chapo Guzmán, the world’s most-wanted drug lord.",2017,TV-MA,NC-17,55,['documentation'],['MX'],1.0,tt7334894,6.8,1093.0,17.067,6.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8333422997075843,0.8333392244692933,0.8333456871476685,0.8333333334225417,0.8333333333834153,0.8333412957828347,22.71726830186661,0.8333369980665778,0.8333461554253953,0.8333432925835292,39.90974264145675,29.872927436687785
2299,tm412273,Tig Notaro: Happy To Be Here,MOVIE,"Comedian Tig Notaro unleashes her inner prankster in a playful stand-up special packed with funny anecdotes, parenting confessions and more.",2018,,OTHERS,58,['comedy'],['XX'],,tt8342946,6.6,1365.0,3.044,6.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.388888890881914,68.0555818731912,1.3888888963604713,1.3888888889343893,1.388888888949038,1.3889370171507993,1.3888888896238405,18.055471727970925,1.3888888927106549,1.3888919198936278,1.3888910848103284,1.3888930295228021
2300,tm365122,Benji,MOVIE,"Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.",2018,PG,PG,87,"['drama', 'crime', 'family']","['US', 'AE']",,tt1799516,6.3,4774.0,17.811,7.0,0,1,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0.833357185320112,0.8333380620583551,22.13267937889634,0.8333333333887043,0.8333434514039837,38.019961742775266,0.8333439207477262,20.798835426718284,0.8333926550924983,0.8333338948855615,12.38173204006157,0.833348908651586
2301,tm309903,The Little Vampire 3D,MOVIE,"Based on the characters from the bestselling novels by Angela Sommer-Bodenburg, tells the story of Rudolph, a thirteen year old vampire, whose clan is threatened by a notorious vampire hunter. He meets Tony, a mortal of the same age, who is fascinated by old castles, graveyards and - vampires. Tony helps Rudolph in an action and humor packed battle against their adversaries, together they save Rudolph's family and become friends.",2017,,OTHERS,83,"['family', 'fantasy', 'comedy', 'animation', 'horror', 'european']","['DE', 'DK', 'NL', 'GB']",,tt4729560,5.4,1721.0,18.501,6.1,0,0,1,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,3,26.979742895067293,0.3968721207277287,0.39684736603256093,0.3968323123320375,0.3968320512950426,0.39683439401955006,15.369808293421611,0.3968357728076306,7.66902293791664,0.39683006177085867,46.80671301567132,0.3968287789377212
2302,tm362121,Time Share,MOVIE,"While staying at a tropical resort, a man becomes convinced the American timeshare company running it has an evil plan to take away his loved ones.",2018,,OTHERS,96,"['horror', 'thriller', 'drama', 'european']","['NL', 'MX']",,tt11481668,5.9,2793.0,5.96,5.6,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,31.92381135524268,0.9259429867816262,0.9259460421825134,0.9259499691059991,0.9259486982445485,58.81673346008204,0.925934517839748,0.9259259259688432,0.925971923708331,0.9259283303004283,0.9259453791696839,0.9259614113735486
2303,ts56033,Surviving Escobar - Alias JJ,SHOW,"As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy.",2017,TV-MA,NC-17,42,"['crime', 'drama']",['CO'],1.0,tt6809396,7.7,995.0,106.508,7.8,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1.1904761911261126,40.40319607707777,1.1904775866352224,1.1904761905310441,1.1904761906341366,33.40556217981735,1.1904803279062677,1.1904761915901165,1.1905681329692248,1.1904882829554186,1.1905570980746845,15.476765550682641
